year,edition,award,nomination_actor,nomination_country,nomination_character_name,nomination_citation,nomination_producers,nomination_description,film_title,is_winner,acceptance_speech_text,acceptance_speech_url
2023,96,Directing,Christopher Nolan,,,,,,Oppenheimer,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-8&amp;qn=AAspeeches
2023,96,Directing,Yorgos Lanthimos,,,,,,Poor Things,False,,
2023,96,Directing,Jonathan Glazer,,,,,,The Zone of Interest,False,,
2023,96,Documentary Feature Film,"Moses Bwayo, Christopher Sharp and John Battsek",,,,,,Bobi Wine: The People's President,False,,
2023,96,Documentary Feature Film,Maite Alberdi,,,,,,The Eternal Memory,False,,
2023,96,Documentary Feature Film,Kaouther Ben Hania and Nadim Cheikhrouha,,,,,,Four Daughters,False,,
2023,96,Documentary Feature Film,"Nisha Pahuja, Cornelia Principe and David Oppenheim",,,,,,To Kill a Tiger,False,,
2023,96,Documentary Feature Film,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath",,,,,,20 Days in Mariupol,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-9&amp;qn=AAspeeches
2023,96,Documentary Short Film,Sheila Nevins and Trish Adlesic,,,,,,The ABCs of Book Banning,False,,
2023,96,Documentary Short Film,John Hoffman and Christine Turner,,,,,,The Barber of Little Rock,False,,
